Date,CO_GT_,NOx_GT_,NO2_GT_,T,AH
4/1/2004,2.135,141.8,98.95,15.365,0.855652896
4/2/2004,2.65,146.6818182,121.1818182,18.43863631,0.937614425
4/3/2004,1.725,116.125,88.5,15.23750007,0.968713801
4/4/2004,1.725,116.125,88.5,15.23750007,0.968713801
4/5/2004,2.815384615,161.3846154,108.5384615,18.58846158,1.031005813
4/6/2004,2.157142857,145.3809524,99.80952381,17.18809529,0.903564137
4/7/2004,1.752380952,103.047619,86.57142857,14.06309526,0.877101895
4/8/2004,2.331818182,155.5909091,105.9090909,14.81098489,0.731365961
4/9/2004,2.3,157,95,12.04999995,0.952280768
4/10/2004,1.8,118.4545455,90.77272727,15.04886365,0.783164564
4/11/2004,1.223809524,65.33333333,68.61904762,15.0111111,0.663921582
4/12/2004,0.881818182,65,66.5,12.02954545,0.755651653
4/13/2004,2.209090909,126.4090909,96.95454545,13.26363633,0.7806037
4/14/2004,2.263636364,147.2727273,84.36363636,13.8272727,0.80709881
4/15/2004,2.9,231.0666667,130.5333333,17.36500004,0.862600805
4/16/2004,2.617391304,193.3913043,113.6956522,14.15036228,1.102793993
4/17/2004,2.233333333,130.6666667,90.33333333,12.63333344,1.183519196
4/18/2004,2.425362319,114.3131313,106.2239131,13.39184786,1.143156595
4/19/2004,2.232945974,93.13554021,122.1144928,15.42391667,0.862600805
4/20/2004,1.888744589,118.4015152,70.45652174,14.02862506,1.183519196
4/21/2004,1.836409122,105.7685277,113.3695652,17.83524269,1.123305698
4/22/2004,2.157053454,122.489899,102.0144928,13.01259065,1.063092199
4/23/2004,2.973684211,184.8421053,135,22.65789472,0.915770806
4/24/2004,2.12173913,115.6521739,91.73913043,20.27318848,1.08512978
4/25/2004,1.230434783,67.86956522,63.60869565,15.74891306,0.693895103
4/26/2004,1.5,87,77.30434783,16.92500001,0.725633676
4/27/2004,2.226086957,116.9565217,94.60869565,20.84637684,0.815420596
4/28/2004,2.582608696,135.2173913,111.8695652,21.39130435,1.014653778
4/29/2004,2.65,167.4545455,107.4545455,19.19924246,1.067551086
4/30/2004,2.730434783,164.173913,103.6086957,18.09021739,1.344229574
5/1/2004,2.072727273,104.5454545,84.27272727,20.44659095,1.163996641
5/2/2004,1.671428571,100.952381,81.19047619,19.72936517,1.072709977
5/3/2004,2.227272727,139.3181818,90.54545455,21.57272724,1.120705265
5/4/2004,2.313043478,132.0434783,84.47826087,18.12173907,1.332744292
5/5/2004,2.185714286,106,87.28571429,16.29047612,1.21905591
5/6/2004,2.166666667,118.6666667,93.95238095,14.58333333,0.998195138
5/7/2004,2.204347826,129.173913,96.7826087,15.52173922,0.932832778
5/8/2004,1.4,76,66,13.85833335,0.917019246
5/9/2004,2.1876,104.5567,89.56,14.43322,1.2333
5/10/2004,2.578571429,153.3571429,107.2857143,19.72500006,0.998453232
5/11/2004,2.368181818,169.6818182,105.6363636,19.43295448,0.978992186
5/12/2004,2.382608696,171.6521739,100.2173913,17.31485503,1.091432941
5/13/2004,2.413043478,153.6521739,104.5217391,17.74130427,1.028205987
5/14/2004,2.440909091,140.9090909,115.8181818,22.16249998,0.885021295
5/15/2004,1.8,118,94.68181818,21.09053022,0.809840264
5/16/2004,1.442105263,81.26315789,82.31578947,22.59078943,0.905978895
5/17/2004,1.686956522,116.2608696,91.69565217,21.51847835,0.63711653
